student_id,first_name,last_name,email,date_of_birth,phone,address,faculty,major,year_of_study,enrollment_date,status,campus
UJ2024001,Thando,Parker,thando.parker@student.uj.ac.za,2004-08-24,2768029906,"245 Street, SWC Campus",FHES,Physiotherapy,4,2021-01-02,ACTIVE,SWC
UJ2024002,Benjamin,Rogers,benjamin.rogers@student.uj.ac.za,2004-01-25,2782879123,"84 Street, APK Campus",FADA,Urban Planning,3,2021-09-27,ACTIVE,APK
UJ2024003,Faith,Rodriguez,faith.rodriguez@student.uj.ac.za,2005-07-10,2788736173,"424 Street, APB Campus",FHES,Medical Science,2,2020-08-21,ACTIVE,APB
UJ2024004,Masego,Perez,masego.perez@student.uj.ac.za,2000-06-12,2799650114,"238 Street, APB Campus",FCBE,Marketing,4,2023-05-07,ACTIVE,APB
UJ2024005,Mpho,Howard,mpho.howard@student.uj.ac.za,2000-04-05,2771415312,"738 Street, APB Campus",FLM,Legal Studies,1,2023-08-01,ACTIVE,APB
UJ2024006,Khanyisile,Cooper,khanyisile.cooper@student.uj.ac.za,2002-09-10,2735961242,"137 Street, DFC Campus",FHES,Medical Science,2,2022-05-06,ACTIVE,DFC
UJ2024007,Olwethu,Taylor,olwethu.taylor@student.uj.ac.za,2000-01-24,2768523977,"667 Street, DFC Campus",FADA,Interior Design,2,2021-01-16,ACTIVE,DFC
UJ2024008,Abigail,Bailey,abigail.bailey@student.uj.ac.za,2003-04-17,2783941893,"128 Street, APB Campus",FEBE,Mechanical Engineering,2,2021-06-25,ACTIVE,APB
UJ2024009,Nompumelelo,Thompson,nompumelelo.thompson@student.uj.ac.za,2005-05-26,2781138908,"302 Street, SWC Campus",FHSS,Anthropology,4,2022-11-05,ACTIVE,SWC
UJ2024010,Kabo,Watson,kabo.watson@student.uj.ac.za,1999-02-13,2715996302,"273 Street, APK Campus",FLM,Criminology,3,2022-06-08,ACTIVE,APK
UJ2024011,Palesa,James,palesa.james@student.uj.ac.za,2004-04-17,2793078334,"174 Street, SWC Campus",FNS,Midwifery,2,2022-03-10,ACTIVE,SWC
UJ2024012,Zinhle,Harris,zinhle.harris@student.uj.ac.za,2003-12-17,2710126720,"498 Street, APB Campus",FMS,Medical Science,3,2020-03-23,ACTIVE,APB
UJ2024013,Sipho,Hall,sipho.hall@student.uj.ac.za,2004-05-10,2770363258,"196 Street, DFC Campus",FADA,Graphic Design,2,2020-08-15,ACTIVE,DFC
UJ2024014,Kagiso,Taylor,kagiso.taylor@student.uj.ac.za,2002-04-20,2783719650,"949 Street, DFC Campus",FHSS,Political Science,4,2023-05-20,ACTIVE,DFC
UJ2024015,Hlompho,Cooper,hlompho.cooper@student.uj.ac.za,1999-12-27,2718237787,"515 Street, APK Campus",FCBE,Marketing,4,2020-10-13,ACTIVE,APK
UJ2024016,Omphemetse,Scott,omphemetse.scott@student.uj.ac.za,2003-12-17,2776988402,"562 Street, APK Campus",FMS,Biochemistry,3,2023-05-28,ACTIVE,APK
